serial_number,model,type,status,commissionning,last_inspection,certificate,infos,notes,column_id
23,excelium,residential,active,2017-12-06 16:57,2017-12-29 08:17,,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.","Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",23
24,premium,residential,intervention,2018-06-06 23:42,2019-02-09 04:07,,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.","Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",24
25,excelium,commercial,active,2018-05-20 03:25,2018-08-07 18:43,,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",25
26,excelium,residential,active,2018-08-19 21:58,2018-07-07 06:30,,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",26
27,standard,residential,active,2019-05-27 06:33,2018-10-30 01:22,,Nulla mollis molestie lorem.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",27
28,premium,commercial,active,2017-06-22 02:09,2019-03-15 11:40,,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,28
29,premium,commercial,active,2018-09-27 07:35,2019-03-01 16:57,,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",29
30,premium,commercial,active,2017-09-26 08:50,2017-07-27 00:08,,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.","Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",30
31,standard,commercial,intervention,2018-06-12 17:02,2018-11-19 23:53,,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.","Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",31
32,premium,commercial,active,2016-10-18 18:02,2019-05-15 08:42,,Vestibulum ac est lacinia nisi venenatis tristique.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",32
33,excelium,commercial,active,2019-03-16 01:25,2019-02-19 21:39,,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,33
34,excelium,residential,active,2018-11-24 14:18,2019-03-21 14:37,,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.","Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",34
35,premium,residential,active,2016-08-24 09:44,2018-12-22 03:49,,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",,35
36,excelium,corporate,active,2017-02-23 19:39,2018-07-02 08:53,,Nulla ut erat id mauris vulputate elementum. Nullam varius.,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,36
37,premium,residential,intervention,2019-04-05 17:12,2019-01-07 16:39,,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Aliquam non mauris.,37
38,premium,residential,active,2017-02-24 18:00,2018-04-13 15:30,,Donec ut dolor.,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,38
39,standard,commercial,active,2016-10-07 20:59,2019-05-04 13:13,,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",39
40,excelium,commercial,active,2018-08-29 01:13,2018-04-02 01:56,,Morbi a ipsum. Integer a nibh. In quis justo.,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,40
41,premium,corporate,active,2016-12-23 18:01,2018-08-08 05:26,,Sed accumsan felis. Ut at dolor quis odio consequat varius.,Aliquam sit amet diam in magna bibendum imperdiet.,41
42,premium,commercial,active,2018-12-30 18:55,2018-11-15 20:20,,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,42
43,standard,commercial,active,2017-12-26 00:41,2017-11-26 17:07,,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",43
44,standard,residential,active,2017-08-05 20:49,2019-07-03 05:31,,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,44
45,premium,commercial,active,2019-04-13 23:30,2019-04-25 08:48,,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Fusce posuere felis sed lacus.,45
46,premium,residential,active,2018-08-22 05:21,2017-07-28 02:47,,Donec ut dolor.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",46
47,excelium,corporate,active,2018-12-01 07:49,2017-11-10 20:29,,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,47
48,excelium,residential,intervention,2019-04-07 04:21,2018-09-21 13:47,,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",48
49,excelium,corporate,active,2017-08-26 16:59,2017-11-09 00:53,,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",49
50,premium,commercial,active,2019-01-17 02:08,2018-03-25 13:43,,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.","Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",50
51,excelium,commercial,active,2017-06-28 18:06,2018-09-21 15:56,,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,51
52,standard,commercial,active,2016-07-23 14:47,2017-07-09 10:11,,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.","Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",52
53,excelium,residential,active,2019-05-19 18:47,2018-05-22 07:45,,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.","Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",53
54,excelium,corporate,active,2019-07-08 04:18,2019-03-04 11:48,,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Sed vel enim sit amet nunc viverra dapibus.,54
55,standard,corporate,active,2019-01-01 18:48,2017-12-21 16:35,,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",55
56,standard,commercial,active,2017-05-22 05:54,2019-02-09 15:56,,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",56
57,premium,commercial,active,2017-06-09 08:55,2019-01-13 04:44,,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Nulla nisl.,57
58,standard,residential,active,2016-09-27 08:20,2019-06-15 01:46,,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.","Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",58
59,excelium,commercial,active,2018-10-13 18:33,2018-02-13 05:48,,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",,59
60,premium,residential,active,2017-12-04 07:41,2019-05-27 06:40,,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,Ut at dolor quis odio consequat varius. Integer ac leo.,60
61,excelium,commercial,active,2018-08-09 00:05,2018-08-15 15:27,,Proin risus. Praesent lectus.,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",61
62,standard,corporate,active,2018-06-21 09:03,2017-07-26 22:56,,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,62
63,premium,residential,active,2019-02-07 05:59,2018-06-10 10:14,,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",63
64,excelium,commercial,active,2019-01-12 12:02,2017-08-06 06:04,,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,64
65,premium,corporate,intervention,2017-03-21 08:12,2017-10-21 01:34,,Etiam faucibus cursus urna. Ut tellus.,Fusce consequat.,65
66,premium,commercial,active,2019-07-04 18:59,2018-12-19 23:30,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,66
67,standard,corporate,active,2017-08-26 05:45,2018-01-10 17:39,,Nulla ut erat id mauris vulputate elementum. Nullam varius.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",67
68,standard,residential,active,2017-03-17 17:54,2019-05-08 10:25,,Quisque ut erat. Curabitur gravida nisi at nibh.,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",68
69,standard,residential,active,2018-12-23 03:21,2019-02-19 15:09,,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,69
70,standard,commercial,intervention,2016-09-04 15:14,2018-02-13 00:34,,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,70
71,premium,commercial,active,2017-01-08 22:52,2017-08-31 20:11,,Pellentesque at nulla. Suspendisse potenti.,Nullam porttitor lacus at turpis.,71
72,excelium,commercial,active,2016-12-04 13:44,2018-12-24 20:49,,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.","Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",72
73,standard,residential,active,2017-11-06 21:12,2018-01-06 13:15,,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.,73
74,standard,residential,intervention,2017-08-15 05:22,2019-01-14 22:21,,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",74
75,standard,corporate,active,2016-11-22 16:08,2018-12-03 16:59,,Etiam justo.,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",75
76,standard,commercial,active,2016-09-02 05:50,2018-05-19 21:48,,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Donec ut mauris eget massa tempor convallis.,76
77,premium,corporate,active,2019-07-03 06:52,2018-10-09 02:01,,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",77
78,standard,residential,active,2016-11-28 23:35,2019-06-27 07:08,,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",78
79,premium,commercial,active,2018-10-31 12:19,2018-02-20 16:37,,Morbi a ipsum. Integer a nibh. In quis justo.,Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.,79
80,excelium,corporate,active,2016-11-22 15:00,2018-12-11 11:22,,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",80
81,premium,corporate,intervention,2017-10-04 04:52,2019-02-07 08:56,,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,,81
82,premium,residential,active,2017-02-07 10:56,2018-05-15 01:14,,Proin risus. Praesent lectus.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",82
83,premium,corporate,active,2018-04-28 16:59,2017-12-29 01:26,,Duis at velit eu est congue elementum.,,83
84,premium,corporate,active,2019-05-20 13:14,2018-05-10 16:53,,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,84
85,premium,residential,active,2017-12-12 14:07,2019-04-08 15:55,,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",,85
86,standard,corporate,active,2019-03-24 00:47,2018-02-10 03:58,,"In est risus, auctor sed, tristique in, tempus sit amet, sem.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",86
87,standard,corporate,active,2018-02-25 03:50,2018-01-22 00:03,,In blandit ultrices enim.,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,87
88,standard,commercial,active,2018-01-16 02:25,2017-12-18 01:45,,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,88
89,premium,residential,intervention,2018-07-17 23:32,2018-10-08 17:06,,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",,89
90,excelium,commercial,active,2019-01-10 23:46,2017-09-13 18:39,,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,90
91,standard,residential,active,2019-03-20 06:58,2018-03-20 14:50,,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,91
92,premium,commercial,active,2019-05-26 03:33,2018-10-07 07:00,,Nullam molestie nibh in lectus.,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",92
93,premium,residential,active,2017-05-26 06:56,2018-11-04 21:03,,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",,93
94,premium,commercial,active,2019-02-10 14:25,2017-11-09 20:04,,Duis mattis egestas metus.,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",94
95,premium,commercial,active,2018-09-15 12:43,2019-02-21 16:51,,Vivamus in felis eu sapien cursus vestibulum.,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,95
96,standard,corporate,active,2017-03-17 13:58,2019-02-22 16:20,,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,96
97,standard,commercial,active,2018-03-06 20:57,2017-10-22 10:51,,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,,97
98,standard,corporate,active,2017-07-07 06:41,2017-07-20 13:42,,Nunc rhoncus dui vel sem.,,98
99,premium,corporate,active,2017-11-28 11:44,2017-08-03 20:22,,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",,99
100,standard,commercial,active,2017-02-05 17:43,2019-03-08 13:33,,Donec dapibus.,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",100
101,standard,corporate,intervention,2018-06-11 11:16,2018-05-28 10:46,,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Phasellus sit amet erat. Nulla tempus.,101
102,premium,corporate,active,2018-10-15 06:49,2018-08-19 01:16,,Integer ac neque. Duis bibendum.,Morbi vel lectus in quam fringilla rhoncus.,102
103,standard,commercial,active,2018-08-11 11:10,2017-07-20 12:47,,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,103
